FB_SPEED,FB_LAP_DIST,FB_BRAKE,MB_LAP_DIST,MB_BRAKE,FS_DIST_FROM_LEFT,FS_SPEED,FS_LAP_DIST,FS_BRAKE,FS_STEERING,MS_DIST_FROM_LEFT,MS_SPEED,MS_LAP_DIST,MS_THROTTLE,MS_BRAKE,MS_STEERING,FT_DIST_FROM_LEFT,FT_SPEED,FT_LAP_DIST,FT_THROTTLE,MT_DIST_FROM_LEFT,MT_SPEED,MT_LAP_DIST,MT_THROTTLE,360_DIST_FROM_LEFT,360_SPEED,360_ANGLE_APEX_1,468_DIST_FROM_LEFT,468_SPEED,468_ANGLE_APEX_2,SECTION_TIME_MS,FB_LAP_DIST_FROM_APEX_1,FS_LAP_DIST_FROM_APEX_1,FT_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_2,MB_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_2
324,254.2763672,0.377035171,369.8867188,0.982894659,3.904583542,209,336.3710938,0.839063108,0.088242888,13.11244302,130,380.5791016,0.0,0.261280239,0.842648983,13.52146659,128,382.9423828,0.039063096,2.059460447,138,424.6826172,1.0,6.851878422,166,105.6180128,1.123782197,177,-93.71251471,11359,259.4976218,340.12653835,383.033559979,381.694311634,388.1604128,372.90272555,352.14179702,428.11437015
326,262.1533203,0.451026171,345.3017578,0.939681113,2.973774941,233,324.6347656,0.88937211,0.078416109,14.43521273,149,377.6816406,0.256153196,0.0,0.416617036,12.77220549,150,372.4228516,0.168245971,2.265455132,160,425.1904297,1.0,8.017223877,169,107.0136232,1.72274244,193,-119.6733353,10724,267.27204570000004,328.62453358,376.70364659,380.844587749,387.1835888,348.80057796,351.74118571,428.52149710000003
325,262.5605469,0.33992523,349.3027344,1.0,2.727615927,226,331.9101563,0.874235153,0.079819918,12.21616148,126,389.4628906,0.051270314,0.165804535,0.89742887,11.5265751,125,391.6191406,0.074479289,6.239839242,212,547.4082031,1.0,5.955536241,178,103.7342943,1.116574694,169,-96.34303421,11368,267.7475927,335.51732358,381.73758983,382.697823514,394.0372325,352.19878349,237.2864173,443.74383675
302,279.3738098,0.269382775,371.7459412,0.934019983,3.262656835,251,325.9017029,0.661570132,0.07557793,9.884757153,137,398.3795776,0.213656828,0.163088426,0.507164121,9.884757153,137,398.3795776,0.213656828,0.464051686,148,432.6114197,1.0,7.777270538,195,107.0884103,0.003125893,177,-95.68152536,11064,284.29897819999996,329.92473983,378.077391142,378.077391142,401.23150148,375.54007249,344.46933089,435.7946707
310,282.3544922,0.572381198,345.4169922,1.0,2.974782144,218,334.0224609,0.956008255,0.084458686,9.008047788,151,366.1699219,0.06666667,1.0,0.372671068,12.95070716,136,375.8847656,0.258899838,1.089269386,167,427.9384766,1.0,6.95154718,163,104.8953658,0.504544364,196,-91.45657061,10920,287.19242997000003,337.60125883,378.985192709,369.35059018,376.1593072,348.64503809,348.90154057,431.354787
313,267.7421875,0.376897842,342.3203125,0.853376031,2.416438132,213,330.2490234,0.827725649,0.094163433,12.82711419,149,375.1816406,0.324025333,0.0,0.397573829,7.721574135,150,363.3339844,0.082169831,7.59529107,160,406.8701172,1.0,7.036998314,151,103.2541921,1.205887936,205,-97.78106759,10758,272.8279211,333.83971597,366.26607943,378.487257373,384.80381520000003,345.4386406,370.15425069,409.95630275999997
309,227.5444031,0.310826272,342.0133057,1.0,2.632660154,214,339.0905151,0.901670873,0.129503325,9.230535119,156,394.5298157,0.373937577,0.0,0.910734653,9.074721652,156,371.8212891,0.474784464,1.624731451,172,513.0528564,1.0,5.235055352,175,102.323371,4.648809035,169,-98.07975891,11637,232.9238529,342.24918971,373.76778647,379.007660061,398.44488118,345.01893043,270.3489272,477.36379501
308,262.0620117,0.073701076,298.3706055,1.0,2.233305112,190,330.9121094,1.0,0.109452963,14.75086161,158,397.1196289,0.200625598,0.20537518,0.452872515,3.818407331,162,346.8813477,0.118165866,6.296609713,162,413.7768555,1.0,8.124562241,162,105.5044948,1.045754673,199,99.28956054,10798,267.0394217,334.41310248,349.90130734,381.911154352,398.35195118,302.83785157,363.49907,416.76107136
287,223.6390076,0.278431386,344.8542175,0.451353699,3.574657739,201,341.161438,0.078431375,0.083657585,3.976521018,169,400.5420532,0.435294122,0.0,0.484130621,7.74189731,179,366.1051331,0.016993463,2.618476825,192,600.9631958,0.788235307,6.568226318,181,102.9825956,1.544724319,140,-94.24022669,12807,229.1214976,344.52287684,368.56107471,371.9468294,405.56383633,348.08868256,195.5857808,393.3890502
310,281.9946289,0.007843138,290.5151367,1.0,4.130523796,221,327.7890625,1.0,0.079461351,9.412459411,149,401.4228516,0.700611055,0.0,0.498550415,14.00899985,142,376.9116211,0.050980393,7.026605856,254,763.8666992,0.988235295,8.768024291,159,107.7273657,6.09236922,162,109.7824136,11875,287.11279483,331.98066382,380.179401708,375.61848347,404.23061172,295.50164697,43.57406259999999,231.33775809999997
